날짜,시가,고가,저가,종가,거래량,등락률,종목코드,종목명
2026-02-20,299,301,286,286,2282134391,-4.666666666666667,252670,KODEX 200선물인버스2X
2026-02-23,276,289,272,283,2879558061,-1.048951048951049,252670,KODEX 200선물인버스2X
2026-02-24,283,290,268,268,2804028657,-5.30035335689046,252670,KODEX 200선물인버스2X
2026-02-25,264,268,252,258,2950890851,-3.731343283582089,252670,KODEX 200선물인버스2X
2026-02-26,255,256,244,245,2147483647,-5.038759689922481,252670,KODEX 200선물인버스2X
2026-02-20,2040,2045,1750,1869,319579293,18.36605446485117,001510,SK증권
2026-02-23,1900,1900,1650,1657,32756497,-11.342964151952915,001510,SK증권
2026-02-24,1647,1812,1590,1812,30332843,9.354254677127338,001510,SK증권
2026-02-25,1841,1866,1739,1807,25457634,-0.27593818984547464,001510,SK증권
2026-02-26,1801,2345,1711,2245,262076444,24.23907028223575,001510,SK증권
2026-02-20,1722,1726,1683,1685,182141408,-2.318840579710145,114800,KODEX 인버스
2026-02-23,1654,1691,1644,1674,206384034,-0.6528189910979229,114800,KODEX 인버스
2026-02-24,1674,1695,1632,1632,224919014,-2.5089605734767026,114800,KODEX 인버스
2026-02-25,1619,1630,1582,1599,269097773,-2.0220588235294117,114800,KODEX 인버스
2026-02-26,1592,1594,1557,1560,184393197,-2.4390243902439024,114800,KODEX 인버스
2026-02-20,10000,10300,9010,9300,42971711,-2.7196652719665275,003530,한화투자증권
2026-02-23,9480,9480,8540,8660,15621119,-6.881720430107527,003530,한화투자증권
2026-02-24,8360,8640,8130,8390,12174554,-3.117782909930716,003530,한화투자증권
2026-02-25,8500,8560,8100,8200,9121559,-2.264600715137068,003530,한화투자증권
2026-02-26,8250,9690,8070,8660,44448405,5.609756097560976,003530,한화투자증권
2026-02-20,460,491,448,448,15330912,-6.079664570230608,007460,에이프로젠
2026-02-23,448,457,410,420,14143540,-6.25,007460,에이프로젠
2026-02-24,384,546,377,546,95451379,30.0,007460,에이프로젠
2026-02-25,597,662,458,462,110062351,-15.384615384615385,007460,에이프로젠
2026-02-26,450,527,438,466,41992224,0.8658008658008658,007460,에이프로젠
2026-02-20,2050,2105,2010,2075,29384426,0.48426150121065376,462330,KODEX 2차전지산업레버리지
