id,user_id,ticker,as_of,score,reason
1,1,001510,2026-02-26,61.02,외국인 순매수 양호 + 높은 거래량
2,1,019550,2026-02-26,32.34,외국인 순매수 양호 + 적정 PER
3,1,000660,2026-02-26,30.03,외국인 순매수 양호
4,1,003380,2026-02-26,29.51,외국인 순매수 양호 + 적정 PER
5,1,000400,2026-02-26,29.37,외국인 순매수 양호 + 적정 PER
6,1,339950,2026-02-26,29.09,외국인 순매수 양호
7,1,238120,2026-02-26,28.89,외국인 순매수 양호 + 적정 PER
8,1,045390,2026-02-26,28.77,외국인 순매수 양호 + 적정 PER
9,1,069460,2026-02-26,28.11,외국인 순매수 양호 + 적정 PER
10,1,003470,2026-02-26,27.69,외국인 순매수 양호 + 적정 PER
