ticker,name,market
252670,KODEX 200선물인버스2X,KOSPI
001510,SK증권,KOSPI
114800,KODEX 인버스,KOSPI
003530,한화투자증권,KOSPI
007460,에이프로젠,KOSPI
462330,KODEX 2차전지산업레버리지,KOSPI
092220,KEC,KOSPI
047040,대우건설,KOSPI
018880,한온시스템,KOSPI
233740,KODEX 코스닥150레버리지,KOSPI
530036,삼성 인버스 2X WTI원유 선물 ETN,KOSPI
001290,상상인증권,KOSPI
251340,KODEX 코스닥150선물인버스,KOSPI
252710,TIGER 200선물인버스2X,KOSPI
229200,KODEX 코스닥150,KOSPI
001200,유진투자증권,KOSPI
004060,SG세계물산,KOSPI
396500,TIGER 반도체TOP10,KOSPI
088350,한화생명,KOSPI
015260,에이엔피,KOSPI
005930,삼성전자,KOSPI
004410,서울식품,KOSPI
122630,KODEX 레버리지,KOSPI
003460,유화증권,KOSPI
011930,신성이엔지,KOSPI
069500,KODEX 200,KOSPI
0148J0,TIGER 코리아휴머노이드로봇산업,KOSPI
006340,대원전선,KOSPI
009310,참엔지니어링,KOSPI
152550,한국ANKOR유전,KOSPI
452260,한화갤러리아,KOSPI
001440,대한전선,KOSPI
379800,KODEX 미국S&P500,KOSPI
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,KOSPI
034220,LG디스플레이,KOSPI
498400,KODEX 200타겟위클리커버드콜,KOSPI
144600,KODEX 은선물(H),KOSPI
412570,TIGER 2차전지TOP10레버리지,KOSPI
530107,삼성 인버스 2X 코스닥150 선물 ETN,KOSPI
035720,카카오,KOSPI
360750,TIGER 미국S&P500,KOSPI
102970,KODEX 증권,KOSPI
305720,KODEX 2차전지산업,KOSPI
0117V0,TIGER 코리아AI전력기기TOP3플러스,KOSPI
462010,TIGER 2차전지소재Fn,KOSPI
395160,KODEX AI반도체,KOSPI
487240,KODEX AI전력핵심설비,KOSPI
012200,계양전기,KOSPI
329200,TIGER 리츠부동산인프라,KOSPI
0091P0,TIGER 코리아원자력,KOSPI
232080,TIGER 코스닥150,KOSPI
000400,롯데손해보험,KOSPI
003470,유안타증권,KOSPI
530062,삼성 인버스 2X 은 선물 ETN(H),KOSPI
448330,KODEX 삼성전자채권혼합,KOSPI
228790,TIGER 화장품,KOSPI
069460,대호에이엘,KOSPI
488080,TIGER 반도체TOP10레버리지,KOSPI
001500,현대차증권,KOSPI
455850,SOL AI반도체소부장,KOSPI
005935,삼성전자우,KOSPI
292150,TIGER 코리아TOP10,KOSPI
495050,RISE 코리아밸류업,KOSPI
003280,흥아해운,KOSPI
118000,메타케어,KOSPI
066570,LG전자,KOSPI
445290,KODEX 로봇액티브,KOSPI
395270,HANARO Fn K-반도체,KOSPI
469070,RISE AI&로봇,KOSPI
494310,KODEX 반도체레버리지,KOSPI
091160,KODEX 반도체,KOSPI
520055,미래에셋 인버스 2X 코스피200 선물 ETN,KOSPI
034830,한국토지신탁,KOSPI
006800,미래에셋증권,KOSPI
379810,KODEX 미국나스닥100,KOSPI
157500,TIGER 증권,KOSPI
123310,TIGER 인버스,KOSPI
472150,TIGER 배당커버드콜액티브,KOSPI
005880,대한해운,KOSPI
003060,에이프로젠바이오로직스,KOSPI
364980,TIGER 2차전지TOP10,KOSPI
530105,삼성 인버스 2X 코스피200 선물 ETN,KOSPI
102110,TIGER 200,KOSPI
006740,블루산업개발,KOSPI
042700,한미반도체,KOSPI
377300,카카오페이,KOSPI
003490,대한항공,KOSPI
000660,SK하이닉스,KOSPI
012030,DB,KOSPI
010140,삼성중공업,KOSPI
0005D0,SOL 전고체배터리&실리콘음극재,KOSPI
475720,RISE 200위클리커버드콜,KOSPI
003620,KG모빌리티,KOSPI
034020,두산에너빌리티,KOSPI
0098F0,KODEX 원자력SMR,KOSPI
000370,한화손해보험,KOSPI
411060,ACE KRX금현물,KOSPI
348950,제이알글로벌리츠,KOSPI
011200,HMM,KOSPI
009290,광동제약,KOSPI
012860,모베이스전자,KOSDAQ
049630,재영솔루텍,KOSDAQ
053950,경남제약,KOSDAQ
038880,아이에이,KOSDAQ
900300,오가닉티코스메틱,KOSDAQ
187660,현대ADM,KOSDAQ
242040,나무기술,KOSDAQ
229000,젠큐릭스,KOSDAQ
308080,바이젠셀,KOSDAQ
054220,비츠로시스,KOSDAQ
377030,비트맥스,KOSDAQ
092040,아미코젠,KOSDAQ
036540,SFA반도체,KOSDAQ
046890,서울반도체,KOSDAQ
064260,다날,KOSDAQ
076610,해성옵틱스,KOSDAQ
125020,티씨머티리얼즈,KOSDAQ
010170,대한광통신,KOSDAQ
225190,LK삼양,KOSDAQ
032820,우리기술,KOSDAQ
080220,제주반도체,KOSDAQ
048410,현대바이오,KOSDAQ
038530,케이바이오,KOSDAQ
115480,씨유메디칼,KOSDAQ
307180,아이엘,KOSDAQ
008290,원풍물산,KOSDAQ
065170,비엘팜텍,KOSDAQ
234340,헥토파이낸셜,KOSDAQ
221800,유투바이오,KOSDAQ
090710,휴림로봇,KOSDAQ
317240,TS트릴리온,KOSDAQ
101330,모베이스,KOSDAQ
115530,씨엔플러스,KOSDAQ
006910,보성파워텍,KOSDAQ
255220,SG,KOSDAQ
024060,흥구석유,KOSDAQ
288330,파라택시스코리아,KOSDAQ
019550,SBI인베스트먼트,KOSDAQ
380540,옵티코어,KOSDAQ
033340,좋은사람들,KOSDAQ
123040,엠에스오토텍,KOSDAQ
038060,루멘스,KOSDAQ
227950,엔투텍,KOSDAQ
403870,HPSP,KOSDAQ
083640,인콘,KOSDAQ
078860,스테이지원엔터,KOSDAQ
017510,세명전기,KOSDAQ
049470,비트플래닛,KOSDAQ
092190,서울바이오시스,KOSDAQ
060250,NHN KCP,KOSDAQ
270520,앱튼,KOSDAQ
060900,에이전트AI,KOSDAQ
008830,대동기어,KOSDAQ
078020,LS증권,KOSDAQ
056090,시지메드텍,KOSDAQ
048530,인트론바이오,KOSDAQ
204610,티쓰리,KOSDAQ
060720,KH바텍,KOSDAQ
049080,기가레인,KOSDAQ
016600,큐캐피탈,KOSDAQ
357880,SKAI,KOSDAQ
023440,제이스코홀딩스,KOSDAQ
013720,THE CUBE&,KOSDAQ
039860,나노엔텍,KOSDAQ
440320,오픈놀,KOSDAQ
067390,아스트,KOSDAQ
018000,유니슨,KOSDAQ
222080,씨아이에스,KOSDAQ
330350,위더스제약,KOSDAQ
069540,빛과전자,KOSDAQ
024840,KBI메탈,KOSDAQ
178320,서진시스템,KOSDAQ
246690,TS인베스트먼트,KOSDAQ
339950,아이비김영,KOSDAQ
047770,코데즈컴바인,KOSDAQ
086520,에코프로,KOSDAQ
340930,유일에너테크,KOSDAQ
025980,아난티,KOSDAQ
046120,오르비텍,KOSDAQ
032680,소프트센,KOSDAQ
319400,현대무벡스,KOSDAQ
072470,우리산업홀딩스,KOSDAQ
241520,DSC인베스트먼트,KOSDAQ
038500,삼표시멘트,KOSDAQ
462860,더즌,KOSDAQ
476060,온코닉테라퓨틱스,KOSDAQ
003380,하림지주,KOSDAQ
